facility_or_program_type,agency,report_date,date,series,exits,category,housing_category
Settings with higher levels of medical care- long-term care facilities,HRA,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,HRA,05_2024,2024-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,HRA,05_2024,2024-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,HRA,05_2024,2024-05-01,adult_families,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,HRA,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,HRA,05_2024,2024-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,05_2024,2024-05-01,families_with_children,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,05_2024,2024-05-01,adult_families,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,05_2024,2024-05-01,total_single_adults,NA,Transitional housing,Other
A private rental market apartment with no rental subsidy,DYCD,05_2024,2024-05-01,families_with_children,NA,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,DYCD,05_2024,2024-05-01,adult_families,0,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,DYCD,05_2024,2024-05-01,total_single_adults,0,Private market,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,05_2024,2024-05-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,05_2024,2024-05-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,05_2024,2024-05-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,05_2024,2024-05-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,05_2024,2024-05-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,05_2024,2024-05-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,05_2024,2024-05-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,05_2024,2024-05-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,05_2024,2024-05-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
Housing of friends or family,DYCD,05_2024,2024-05-01,families_with_children,NA,Family or friends,Permanent Housing
Housing of friends or family,DYCD,05_2024,2024-05-01,adult_families,0,Family or friends,Permanent Housing
Housing of friends or family,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Family or friends,Permanent Housing
Housing of friends or family,DYCD,05_2024,2024-05-01,total_single_adults,27,Family or friends,Permanent Housing
Moved back to vacated building,DYCD,05_2024,2024-05-01,families_with_children,NA,Other,Other
Moved back to vacated building,DYCD,05_2024,2024-05-01,adult_families,NA,Other,Other
Moved back to vacated building,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Other,Other
Moved back to vacated building,DYCD,05_2024,2024-05-01,total_single_adults,NA,Other,Other
Other affordable housing- 421-a affordable housing,DYCD,05_2024,2024-05-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,DYCD,05_2024,2024-05-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,DYCD,05_2024,2024-05-01,total_single_adults,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,DYCD,05_2024,2024-05-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,DYCD,05_2024,2024-05-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,DYCD,05_2024,2024-05-01,total_single_adults,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,DYCD,05_2024,2024-05-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,DYCD,05_2024,2024-05-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,DYCD,05_2024,2024-05-01,total_single_adults,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,DYCD,05_2024,2024-05-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,DYCD,05_2024,2024-05-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,DYCD,05_2024,2024-05-01,total_single_adults,NA,Affordable housing,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,05_2024,2024-05-01,families_with_children,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,05_2024,2024-05-01,adult_families,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,05_2024,2024-05-01,total_single_adults,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,05_2024,2024-05-01,families_with_children,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,05_2024,2024-05-01,adult_families,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,05_2024,2024-05-01,total_single_adults,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,05_2024,2024-05-01,families_with_children,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,05_2024,2024-05-01,adult_families,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,05_2024,2024-05-01,total_single_adults,NA,Voucher,Permanent Housing
Rapid re-housing funded by the United States department of housing and urban development,DYCD,05_2024,2024-05-01,families_with_children,NA,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,DYCD,05_2024,2024-05-01,adult_families,0,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Rapid re-housing,Other
Rapid re-housing funded by the United States department of housing and urban development,DYCD,05_2024,2024-05-01,total_single_adults,0,Rapid re-housing,Other
Residential drug treatment and detoxification,DYCD,05_2024,2024-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,DYCD,05_2024,2024-05-01,adult_families,NA,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,DYCD,05_2024,2024-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
Section 8 voucher housing- HPD- project-based,DYCD,05_2024,2024-05-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,DYCD,05_2024,2024-05-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- project-based,DYCD,05_2024,2024-05-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,DYCD,05_2024,2024-05-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,DYCD,05_2024,2024-05-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- HPD- tenant-based,DYCD,05_2024,2024-05-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,05_2024,2024-05-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,05_2024,2024-05-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,05_2024,2024-05-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,05_2024,2024-05-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,05_2024,2024-05-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,05_2024,2024-05-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,05_2024,2024-05-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,05_2024,2024-05-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,05_2024,2024-05-01,total_single_adults,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,DYCD,05_2024,2024-05-01,families_with_children,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,DYCD,05_2024,2024-05-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,DYCD,05_2024,2024-05-01,total_single_adults,NA,Voucher,Permanent Housing
Settings with higher levels of medical care- inpatient hospitalization,DYCD,05_2024,2024-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,DYCD,05_2024,2024-05-01,adult_families,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,DYCD,05_2024,2024-05-01,total_single_adults,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,DYCD,05_2024,2024-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,DYCD,05_2024,2024-05-01,adult_families,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- long-term care facilities,DYCD,05_2024,2024-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,DYCD,05_2024,2024-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,DYCD,05_2024,2024-05-01,adult_families,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,DYCD,05_2024,2024-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,DYCD,05_2024,2024-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,DYCD,05_2024,2024-05-01,adult_families,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical respite care,DYCD,05_2024,2024-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
Supportive housing,DYCD,05_2024,2024-05-01,families_with_children,NA,Supportive housing,Permanent Housing
Supportive housing,DYCD,05_2024,2024-05-01,adult_families,0,Supportive housing,Permanent Housing
Supportive housing,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Supportive housing,Permanent Housing
Supportive housing,DYCD,05_2024,2024-05-01,total_single_adults,0,Supportive housing,Permanent Housing
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",DYCD,05_2024,2024-05-01,families_with_children,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",DYCD,05_2024,2024-05-01,adult_families,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",DYCD,05_2024,2024-05-01,total_single_adults,NA,Transitional housing,Other
DYCD-funded Crisis Services Program,DYCD,05_2024,2024-05-01,families_with_children,NA,Youth special program,Other
DYCD-funded Crisis Services Program,DYCD,05_2024,2024-05-01,adult_families,0,Youth special program,Other
DYCD-funded Crisis Services Program,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Youth special program,Other
DYCD-funded Crisis Services Program,DYCD,05_2024,2024-05-01,total_single_adults,34,Youth special program,Other
DYCD-funded Transitional Independent Living Program,DYCD,05_2024,2024-05-01,families_with_children,NA,Youth special program,Other
DYCD-funded Transitional Independent Living Program,DYCD,05_2024,2024-05-01,adult_families,0,Youth special program,Other
DYCD-funded Transitional Independent Living Program,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Youth special program,Other
DYCD-funded Transitional Independent Living Program,DYCD,05_2024,2024-05-01,total_single_adults,34,Youth special program,Other
Foster home,DYCD,05_2024,2024-05-01,families_with_children,NA,Foster home,Permanent Housing
Foster home,DYCD,05_2024,2024-05-01,adult_families,0,Foster home,Permanent Housing
Foster home,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Foster home,Permanent Housing
Foster home,DYCD,05_2024,2024-05-01,total_single_adults,0,Foster home,Permanent Housing
Other shelter,DYCD,05_2024,2024-05-01,families_with_children,NA,Other shelter,Other
Other shelter,DYCD,05_2024,2024-05-01,adult_families,0,Other shelter,Other
Other shelter,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Other shelter,Other
Other shelter,DYCD,05_2024,2024-05-01,total_single_adults,26,Other shelter,Other
DHS shelter,DYCD,05_2024,2024-05-01,families_with_children,NA,Other shelter,Other
DHS shelter,DYCD,05_2024,2024-05-01,adult_families,0,Other shelter,Other
DHS shelter,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Other shelter,Other
DHS shelter,DYCD,05_2024,2024-05-01,total_single_adults,0,Other shelter,Other
Youth detention center/Correctional facility,DYCD,05_2024,2024-05-01,families_with_children,NA,Other,Other
Youth detention center/Correctional facility,DYCD,05_2024,2024-05-01,adult_families,0,Other,Other
Youth detention center/Correctional facility,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Other,Other
Youth detention center/Correctional facility,DYCD,05_2024,2024-05-01,total_single_adults,0,Other,Other
"Subsidized Apartment (NYCHA, Mitchell Lama, Etc.)",DYCD,05_2024,2024-05-01,families_with_children,NA,Affordable housing,Permanent Housing
"Subsidized Apartment (NYCHA, Mitchell Lama, Etc.)",DYCD,05_2024,2024-05-01,adult_families,0,Affordable housing,Permanent Housing
"Subsidized Apartment (NYCHA, Mitchell Lama, Etc.)",DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Affordable housing,Permanent Housing
"Subsidized Apartment (NYCHA, Mitchell Lama, Etc.)",DYCD,05_2024,2024-05-01,total_single_adults,0,Affordable housing,Permanent Housing
Shared Living (Not friends or relatives),DYCD,05_2024,2024-05-01,families_with_children,NA,Other,Permanent Housing
Shared Living (Not friends or relatives),DYCD,05_2024,2024-05-01,adult_families,0,Other,Permanent Housing
Shared Living (Not friends or relatives),DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Other,Permanent Housing
Shared Living (Not friends or relatives),DYCD,05_2024,2024-05-01,total_single_adults,0,Other,Permanent Housing
CityFHEPS (Family Homelessness and Eviction Prevention Supplement),DYCD,05_2024,2024-05-01,families_with_children,NA,Voucher,Permanent Housing
CityFHEPS (Family Homelessness and Eviction Prevention Supplement),DYCD,05_2024,2024-05-01,adult_families,0,Voucher,Permanent Housing
CityFHEPS (Family Homelessness and Eviction Prevention Supplement),DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Voucher,Permanent Housing
CityFHEPS (Family Homelessness and Eviction Prevention Supplement),DYCD,05_2024,2024-05-01,total_single_adults,0,Voucher,Permanent Housing
Emergency Housing Voucher,DYCD,05_2024,2024-05-01,families_with_children,NA,Voucher,Permanent Housing
Emergency Housing Voucher,DYCD,05_2024,2024-05-01,adult_families,0,Voucher,Permanent Housing
Emergency Housing Voucher,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Voucher,Permanent Housing
Emergency Housing Voucher,DYCD,05_2024,2024-05-01,total_single_adults,0,Voucher,Permanent Housing
Unknown or unable to validate,DYCD,05_2024,2024-05-01,families_with_children,NA,Unknown,Unknown
Unknown or unable to validate,DYCD,05_2024,2024-05-01,adult_families,0,Unknown,Unknown
Unknown or unable to validate,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Unknown,Unknown
Unknown or unable to validate,DYCD,05_2024,2024-05-01,total_single_adults,26,Unknown,Unknown
Home returned to parent or guardian,DYCD,05_2024,2024-05-01,families_with_children,NA,Family or friends,Permanent Housing
Home returned to parent or guardian,DYCD,05_2024,2024-05-01,adult_families,0,Family or friends,Permanent Housing
Home returned to parent or guardian,DYCD,05_2024,2024-05-01,runaway_and_homeless_youth,0,Family or friends,Permanent Housing
Home returned to parent or guardian,DYCD,05_2024,2024-05-01,total_single_adults,0,Family or friends,Permanent Housing
A private rental market apartment with no rental subsidy,DHS,06_2024,2024-05-01,families_with_children,82,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,DHS,06_2024,2024-05-01,adult_families,0,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,DHS,06_2024,2024-04-01,total_single_adults,34,Private market,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DHS,06_2024,2024-05-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DHS,06_2024,2024-05-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DHS,06_2024,2024-04-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DHS,06_2024,2024-05-01,families_with_children,12,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DHS,06_2024,2024-05-01,adult_families,0,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DHS,06_2024,2024-04-01,total_single_adults,28,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DHS,06_2024,2024-05-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DHS,06_2024,2024-05-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DHS,06_2024,2024-04-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
Housing of friends or family,DHS,06_2024,2024-05-01,families_with_children,129,Family or friends,Permanent Housing
Housing of friends or family,DHS,06_2024,2024-05-01,adult_families,0,Family or friends,Permanent Housing
Housing of friends or family,DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,Family or friends,Permanent Housing
Housing of friends or family,DHS,06_2024,2024-04-01,total_single_adults,71,Family or friends,Permanent Housing
Moved back to vacated building,DHS,06_2024,2024-05-01,families_with_children,NA,Other,Other
Moved back to vacated building,DHS,06_2024,2024-05-01,adult_families,NA,Other,Other
Moved back to vacated building,DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,Other,Other
Moved back to vacated building,DHS,06_2024,2024-04-01,total_single_adults,NA,Other,Other
Other affordable housing- 421-a affordable housing,DHS,06_2024,2024-05-01,families_with_children,0,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,DHS,06_2024,2024-05-01,adult_families,0,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- 421-a affordable housing,DHS,06_2024,2024-04-01,total_single_adults,0,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,DHS,06_2024,2024-05-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,DHS,06_2024,2024-05-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- Housing New York,DHS,06_2024,2024-04-01,total_single_adults,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,DHS,06_2024,2024-05-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,DHS,06_2024,2024-05-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- mandatory inclusionary housing,DHS,06_2024,2024-04-01,total_single_adults,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,DHS,06_2024,2024-05-01,families_with_children,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,DHS,06_2024,2024-05-01,adult_families,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,DHS,06_2024,2024-04-01,total_single_adults,NA,Affordable housing,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,DHS,06_2024,2024-05-01,families_with_children,0,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,DHS,06_2024,2024-05-01,adult_families,0,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- private room,DHS,06_2024,2024-04-01,total_single_adults,0,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DHS,06_2024,2024-05-01,families_with_children,0,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DHS,06_2024,2024-05-01,adult_families,0,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DHS,06_2024,2024-04-01,total_single_adults,0,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (CFHEPS),DHS,06_2024,2024-05-01,families_with_children,590,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (CFHEPS),DHS,06_2024,2024-05-01,adult_families,41,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (CFHEPS),DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (CFHEPS),DHS,06_2024,2024-04-01,total_single_adults,420,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (FHEPS),DHS,06_2024,2024-05-01,families_with_children,0,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (FHEPS),DHS,06_2024,2024-05-01,adult_families,0,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (FHEPS),DHS,06_2024,2024-06-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy (FHEPS),DHS,06_2024,2024-04-01,total_single_adults,0,Voucher,Permanent Housing
